filename,split,channel,min,max,mean,std,rms
1.edf,train,EEG AFF1,-5.8e-05,0.000337,0.000111,1.2e-05,0.000111
1.edf,train,EEG AFz,-0.000281,0.000239,-5e-05,1.5e-05,5.2e-05
1.edf,train,EEG AFF2,-0.000104,0.000281,7.8e-05,1.2e-05,7.9e-05
1.edf,train,EEG FFC5h,-0.00078,0.000547,-5.1e-05,1.4e-05,5.3e-05
1.edf,train,EEG FFC3h,-0.000199,0.000181,-4.9e-05,8e-06,4.9e-05
1.edf,train,EEG FFC4h,-0.000103,0.000477,9.6e-05,8e-06,9.6e-05
1.edf,train,EEG FFC6h,-0.000327,0.00057,-5.5e-05,9e-06,5.6e-05
1.edf,train,EEG FCC5h,-0.000449,0.000723,9.7e-05,1e-05,9.8e-05
1.edf,train,EEG FCC3h,0.0,0.000327,0.000187,8e-06,0.000187
1.edf,train,EEG FCC4h,0.0,0.000307,0.000172,6e-06,0.000172
1.edf,train,EEG FCC6h,-5.6e-05,0.000331,7.9e-05,8e-06,8e-05
1.edf,train,EEG CCP5h,-0.000156,0.000575,0.000177,9e-06,0.000177
1.edf,train,EEG CCP3h,0.0,0.000297,0.000166,7e-06,0.000166
1.edf,train,EEG CCP4h,0.0,0.000234,0.000185,7e-06,0.000185
1.edf,train,EEG CCP6h,0.0,0.000342,0.000207,1e-05,0.000208
1.edf,train,EEG CPP5h,0.0,0.000358,0.00019,9e-06,0.000191
1.edf,train,EEG CPP3h,0.0,0.000284,0.000179,8e-06,0.000179
1.edf,train,EEG CPP4h,0.0,0.000243,0.000183,1e-05,0.000183
1.edf,train,EEG CPP6h,0.0,0.000265,0.000155,1e-05,0.000155
1.edf,train,EEG PPO1,0.0,0.000226,0.000168,1e-05,0.000168
1.edf,train,EEG PPO2,0.0,0.000237,0.000184,9e-06,0.000184
1.edf,train,EEG I1,0.0,0.000487,0.000203,1.5e-05,0.000204
1.edf,train,EEG Iz,0.0,0.00037,0.000185,1.3e-05,0.000186
1.edf,train,EEG I2,-0.00018,0.000599,0.000163,1.3e-05,0.000164
1.edf,train,EEG AFp3h,-0.000482,0.000326,-0.000128,2.3e-05,0.00013
1.edf,train,EEG AFp4h,-0.000514,0.000247,-0.000141,2.2e-05,0.000142
1.edf,train,EEG AFF5h,-0.000744,0.000398,-0.000112,1.9e-05,0.000113
1.edf,train,EEG AFF6h,-0.000602,0.000272,-0.000106,1.6e-05,0.000107
1.edf,train,EEG FFT7h,-0.000751,0.000218,-0.000121,1.3e-05,0.000122
1.edf,train,EEG FFC1h,-0.000171,0.0,-0.000125,8e-06,0.000126
1.edf,train,EEG FFC2h,-9.1e-05,0.000184,-5.1e-05,7e-06,5.2e-05
1.edf,train,EEG FFT8h,-0.000416,8.9e-05,-0.000124,1.1e-05,0.000125
1.edf,train,EEG FTT9h,-0.000563,0.000301,-0.000119,1.2e-05,0.000119
1.edf,train,EEG FTT7h,-0.00069,0.000187,-0.000115,1.2e-05,0.000116
1.edf,train,EEG FCC1h,-0.000137,0.0,-0.00011,4e-06,0.00011
1.edf,train,EEG FCC2h,-0.000155,0.0,-0.00013,4e-06,0.00013
1.edf,train,EEG FTT8h,-0.000288,0.000136,-0.000118,1.2e-05,0.000119
1.edf,train,EEG FTT10h,-0.00042,7.4e-05,-0.000128,1.4e-05,0.000129
1.edf,train,EEG TTP7h,-0.000728,0.000271,-0.000112,1.1e-05,0.000113
1.edf,train,EEG CCP1h,-0.000121,0.0,-8.7e-05,3e-06,8.7e-05
1.edf,train,EEG CCP2h,0.0,0.000248,0.000222,7e-06,0.000222
1.edf,train,EEG TTP8h,0.0,0.000249,0.000225,8e-06,0.000225
1.edf,train,EEG TPP7h,-0.000243,0.00031,-2.6e-05,1e-05,2.8e-05
1.edf,train,EEG CPP1h,0.0,0.000231,0.000188,9e-06,0.000188
1.edf,train,EEG CPP2h,0.0,0.000249,0.0002,9e-06,0.0002
1.edf,train,EEG TPP8h,0.0,0.000464,0.000194,1.2e-05,0.000195
1.edf,train,EEG PPO9h,-0.000556,0.000365,0.000213,1.4e-05,0.000214
1.edf,train,EEG PPO5h,0.0,0.000341,0.000213,1e-05,0.000213
1.edf,train,EEG PPO6h,0.0,0.000278,0.000197,1e-05,0.000198
1.edf,train,EEG PPO10h,0.0,0.000313,0.000209,1.4e-05,0.000209
1.edf,train,EEG POO9h,0.0,0.000368,0.000185,1.3e-05,0.000185
1.edf,train,EEG POO3h,0.0,0.000298,0.000194,1.4e-05,0.000194
1.edf,train,EEG POO4h,0.0,0.000356,0.000207,1.2e-05,0.000207
1.edf,train,EEG POO10h,-3e-06,0.000418,0.000189,1.3e-05,0.000189
1.edf,train,EEG OI1h,0.0,0.000373,0.000192,1.3e-05,0.000193
1.edf,train,EEG OI2h,0.0,0.000389,0.000195,1.2e-05,0.000195
2.edf,train,EEG Fp1,-0.000207,0.000235,-2.3e-05,1.9e-05,3e-05
2.edf,train,EEG Fp2,-0.000158,0.000189,-3.7e-05,1.8e-05,4.1e-05
2.edf,train,EEG Fpz,-0.00027,0.000201,-2.6e-05,1.9e-05,3.2e-05
2.edf,train,EEG F7,-0.000303,0.000152,-3e-05,1.3e-05,3.2e-05
2.edf,train,EEG F3,-4.9e-05,0.00018,5e-06,8e-06,9e-06
2.edf,train,EEG Fz,8e-06,0.000126,5.5e-05,7e-06,5.5e-05
2.edf,train,EEG F4,-6.6e-05,6.4e-05,-2.7e-05,7e-06,2.8e-05
2.edf,train,EEG F8,-0.000177,8.6e-05,-3.4e-05,9e-06,3.5e-05
2.edf,train,EEG FC5,-0.000194,9.8e-05,-2e-05,1e-05,2.3e-05
2.edf,train,EEG FC1,-7.7e-05,1.5e-05,-3.9e-05,5e-06,3.9e-05
2.edf,train,EEG FC2,2.3e-05,7.7e-05,4.5e-05,4e-06,4.5e-05
2.edf,train,EEG FC6,-0.000133,8.9e-05,-3.9e-05,7e-06,4e-05
2.edf,train,EEG M1,-0.000132,5e-05,-3.2e-05,1.3e-05,3.4e-05
2.edf,train,EEG T7,-0.00018,5e-05,-2.2e-05,1.4e-05,2.6e-05
2.edf,train,EEG C3,-7.1e-05,4.9e-05,-3.5e-05,6e-06,3.6e-05
2.edf,train,EEG Cz,1.5e-05,2.6e-05,2.1e-05,2e-06,2.2e-05
2.edf,train,EEG C4,0.000116,0.000215,0.000154,5e-06,0.000154
2.edf,train,EEG T8,2.7e-05,0.000221,0.000166,9e-06,0.000166
2.edf,train,EEG M2,-0.000147,6.6e-05,-9e-06,1.2e-05,1.5e-05
2.edf,train,EEG CP5,0.000111,0.000207,0.000155,8e-06,0.000155
2.edf,train,EEG CP1,8.9e-05,0.00022,0.000172,5e-06,0.000172
2.edf,train,EEG CP2,0.000153,0.000204,0.000179,5e-06,0.000179
2.edf,train,EEG CP6,8.3e-05,0.000215,0.000142,7e-06,0.000142
2.edf,train,EEG P7,6.2e-05,0.000237,0.000164,1.1e-05,0.000164
2.edf,train,EEG P3,0.000111,0.000215,0.000169,8e-06,0.000169
2.edf,train,EEG Pz,9.7e-05,0.000187,0.000149,1.2e-05,0.00015
2.edf,train,EEG P4,0.000104,0.00018,0.000142,7e-06,0.000143
2.edf,train,EEG P8,5e-05,0.000216,0.000155,1.1e-05,0.000155
2.edf,train,EEG POz,7.8e-05,0.000191,0.000136,9e-06,0.000136
2.edf,train,EEG O1,0.000105,0.000244,0.000177,1e-05,0.000178
2.edf,train,EEG Oz,9.6e-05,0.000222,0.000162,1e-05,0.000162
2.edf,train,EEG O2,9.5e-05,0.000227,0.000163,1e-05,0.000164
2.edf,train,EOG EOGh,-0.000876,0.002241,0.000167,8.2e-05,0.000186
2.edf,train,EOG EOGv,-0.051325,0.081816,-0.000115,0.001725,0.001729
2.edf,train,EMG EMG_RH,-0.000474,0.000496,0.000175,1.4e-05,0.000176
2.edf,train,EMG EMG_LH,-0.00109,0.000332,-0.000127,2.5e-05,0.00013
2.edf,train,EMG EMG_RF,-0.000499,0.000131,-0.000126,2.6e-05,0.000129
2.edf,train,EEG AF7,-0.000301,0.000215,2e-06,1.6e-05,1.6e-05
2.edf,train,EEG AF3,-4.7e-05,0.000137,8e-06,1.1e-05,1.3e-05
2.edf,train,EEG AF4,-6e-05,0.000116,-7e-06,1.1e-05,1.3e-05
2.edf,train,EEG AF8,-0.00013,0.000246,9e-05,1.4e-05,9.1e-05
2.edf,train,EEG F5,-0.000185,0.000201,-5.3e-05,1.2e-05,5.4e-05
2.edf,train,EEG F1,-9.5e-05,3.3e-05,-3.8e-05,7e-06,3.9e-05
2.edf,train,EEG F2,3.2e-05,0.000149,8e-05,7e-06,8e-05
2.edf,train,EEG F6,-0.000117,0.00014,-4e-05,8e-06,4.1e-05
2.edf,train,EEG FC3,-0.000119,0.000126,-3.7e-05,6e-06,3.7e-05
2.edf,train,EEG FCz,-4.6e-05,1.6e-05,-1.9e-05,4e-06,2e-05
2.edf,train,EEG FC4,-3.8e-05,9.3e-05,6e-06,5e-06,8e-06
2.edf,train,EEG C5,-0.000183,-2e-06,-5.8e-05,7e-06,5.8e-05
2.edf,train,EEG C1,-7.9e-05,-8e-06,-4.6e-05,4e-06,4.6e-05
2.edf,train,EEG C2,-6e-05,-3.4e-05,-4.7e-05,2e-06,4.7e-05
2.edf,train,EEG C6,-0.000136,5.1e-05,-4.8e-05,7e-06,4.9e-05
2.edf,train,EEG CP3,-7.3e-05,6e-06,-3.4e-05,6e-06,3.4e-05
2.edf,train,EEG CPz,0.000182,0.000226,0.000207,5e-06,0.000208
2.edf,train,EEG CP4,0.00018,0.000206,0.000194,3e-06,0.000195
2.edf,train,EEG P5,-5.9e-05,7.8e-05,1.7e-05,9e-06,1.9e-05
2.edf,train,EEG P1,0.000181,0.000263,0.000224,7e-06,0.000224
2.edf,train,EEG P2,0.000201,0.000267,0.000233,6e-06,0.000233
2.edf,train,EEG P6,0.000135,0.000266,0.000195,8e-06,0.000195
2.edf,train,EEG PO5,0.000128,0.000302,0.000227,1e-05,0.000227
2.edf,train,EEG PO3,0.000163,0.000288,0.000235,8e-06,0.000235
2.edf,train,EEG PO4,0.000148,0.000242,0.000198,8e-06,0.000198
2.edf,train,EEG PO6,0.000137,0.000247,0.000195,9e-06,0.000195
2.edf,train,EEG FT7,-2.9e-05,0.000351,0.000223,9e-06,0.000223
2.edf,train,EEG FT8,-7.3e-05,0.00027,0.000199,9e-06,0.0002
2.edf,train,EEG TP7,0.000161,0.000301,0.000238,1e-05,0.000238
2.edf,train,EEG TP8,0.000146,0.000376,0.000235,9e-06,0.000235
2.edf,train,EEG PO7,9.9e-05,0.000318,0.000226,1.2e-05,0.000226
2.edf,train,EEG PO8,0.000122,0.00027,0.000198,1.1e-05,0.000199
2.edf,train,EEG FT9,-8e-06,0.000186,0.000104,1.1e-05,0.000105
2.edf,train,EEG FT10,-1.7e-05,0.000212,0.000109,1.1e-05,0.00011
2.edf,train,EEG TPP9h,-0.000244,4.7e-05,-4.4e-05,1.1e-05,4.5e-05
2.edf,train,EEG TPP10h,-1.2e-05,0.000166,0.000107,1.1e-05,0.000108
2.edf,train,EEG PO9,-1.9e-05,0.000193,0.000111,1.2e-05,0.000112
2.edf,train,EEG PO10,-0.000186,2e-06,-6.9e-05,1.1e-05,6.9e-05
2.edf,train,EEG P9,8e-06,0.000172,0.000101,1.2e-05,0.000101
2.edf,train,EEG P10,-7e-06,0.000159,0.0001,1.1e-05,0.0001
2.edf,train,EEG AFF1,5.3e-05,0.000199,0.000108,8e-06,0.000109
2.edf,train,EEG AFz,-0.000107,7.7e-05,-5.1e-05,1.1e-05,5.3e-05
2.edf,train,EEG AFF2,3.8e-05,0.000167,7.9e-05,8e-06,8e-05
2.edf,train,EEG FFC5h,-0.000209,0.0002,-5.5e-05,8e-06,5.6e-05
2.edf,train,EEG FFC3h,-0.000102,4.4e-05,-5.4e-05,6e-06,5.4e-05
2.edf,train,EEG FFC4h,5.3e-05,0.000137,8.7e-05,5e-06,8.7e-05
2.edf,train,EEG FFC6h,-0.000151,0.000102,-5.9e-05,7e-06,6e-05
2.edf,train,EEG FCC5h,-1.4e-05,0.000279,9.4e-05,6e-06,9.4e-05
2.edf,train,EEG FCC3h,0.000149,0.000276,0.000187,5e-06,0.000187
2.edf,train,EEG FCC4h,0.000133,0.000215,0.000164,5e-06,0.000164
2.edf,train,EEG FCC6h,1e-06,0.000183,7.4e-05,6e-06,7.5e-05
2.edf,train,EEG CCP5h,0.000137,0.000217,0.000173,7e-06,0.000173
2.edf,train,EEG CCP3h,0.000139,0.000198,0.000163,5e-06,0.000163
2.edf,train,EEG CCP4h,0.000166,0.00022,0.000186,4e-06,0.000186
2.edf,train,EEG CCP6h,0.000164,0.000284,0.000209,6e-06,0.000209
2.edf,train,EEG CPP5h,0.000135,0.000235,0.000189,7e-06,0.00019
2.edf,train,EEG CPP3h,0.000137,0.000213,0.000176,6e-06,0.000176
2.edf,train,EEG CPP4h,0.000151,0.000213,0.000184,6e-06,0.000184
2.edf,train,EEG CPP6h,0.000111,0.000197,0.000152,7e-06,0.000152
2.edf,train,EEG PPO1,0.000124,0.000206,0.000168,7e-06,0.000168
2.edf,train,EEG PPO2,0.000149,0.000223,0.000186,6e-06,0.000186
2.edf,train,EEG I1,0.00011,0.000327,0.000206,1.1e-05,0.000206
2.edf,train,EEG Iz,9.9e-05,0.000247,0.000186,1e-05,0.000186
2.edf,train,EEG I2,7e-05,0.000221,0.000161,1e-05,0.000161
2.edf,train,EEG AFp3h,-0.000251,4.8e-05,-0.000131,1.4e-05,0.000131
2.edf,train,EEG AFp4h,-0.000243,1.4e-05,-0.000149,1.3e-05,0.00015
2.edf,train,EEG AFF5h,-0.000445,4.1e-05,-0.000116,1.1e-05,0.000117
2.edf,train,EEG AFF6h,-0.000227,3.9e-05,-0.000109,9e-06,0.000109
2.edf,train,EEG FFT7h,-0.000571,0.000103,-0.000123,1e-05,0.000123
2.edf,train,EEG FFC1h,-0.000173,-7.3e-05,-0.000127,6e-06,0.000127
2.edf,train,EEG FFC2h,-8.3e-05,-9e-06,-5.5e-05,5e-06,5.5e-05
2.edf,train,EEG FFT8h,-0.000286,-3e-05,-0.000132,8e-06,0.000133
2.edf,train,EEG FTT9h,-0.000267,-4.3e-05,-0.000119,1e-05,0.000119
2.edf,train,EEG FTT7h,-0.00045,1.8e-05,-0.000122,9e-06,0.000122
2.edf,train,EEG FCC1h,-0.000133,-9.3e-05,-0.000116,3e-06,0.000116
2.edf,train,EEG FCC2h,-0.00015,-0.000121,-0.000134,3e-06,0.000134
2.edf,train,EEG FTT8h,-0.000283,-2.1e-05,-0.000122,9e-06,0.000123
2.edf,train,EEG FTT10h,-0.00034,-1.4e-05,-0.000132,1.1e-05,0.000132
2.edf,train,EEG TTP7h,-0.000207,-6e-05,-0.000116,9e-06,0.000117
2.edf,train,EEG CCP1h,-0.000135,-8.6e-05,-0.000106,9e-06,0.000106
2.edf,train,EEG CCP2h,0.000207,0.000235,0.000222,3e-06,0.000222
2.edf,train,EEG TTP8h,0.000115,0.000293,0.000225,8e-06,0.000225
2.edf,train,EEG TPP7h,-9.1e-05,7.4e-05,-2.8e-05,9e-06,2.9e-05
2.edf,train,EEG CPP1h,0.000172,0.000225,0.000199,5e-06,0.000199
2.edf,train,EEG CPP2h,0.00014,0.000299,0.000196,9e-06,0.000196
2.edf,train,EEG TPP8h,0.000109,0.000304,0.000193,9e-06,0.000193
2.edf,train,EEG PPO9h,9.6e-05,0.000294,0.000213,1.3e-05,0.000213
2.edf,train,EEG PPO5h,0.000139,0.000273,0.000214,8e-06,0.000214
2.edf,train,EEG PPO6h,0.000139,0.000247,0.000196,8e-06,0.000197
2.edf,train,EEG PPO10h,0.00014,0.00028,0.000211,1.1e-05,0.000211
2.edf,train,EEG POO9h,0.000112,0.000254,0.000188,1e-05,0.000188
2.edf,train,EEG POO3h,0.000124,0.000262,0.000197,1e-05,0.000197
2.edf,train,EEG POO4h,0.000146,0.00027,0.000209,1e-05,0.00021
2.edf,train,EEG POO10h,0.000103,0.000253,0.000191,1e-05,0.000191
2.edf,train,EEG OI1h,0.00012,0.000262,0.000195,1e-05,0.000196
2.edf,train,EEG OI2h,0.00012,0.000258,0.000197,1e-05,0.000197
3.edf,train,EEG Fp1,-0.000121,0.000422,-2.1e-05,3.3e-05,3.9e-05
3.edf,train,EEG Fp2,-0.000129,0.000373,-3.8e-05,2.9e-05,4.8e-05
3.edf,train,EEG Fpz,-0.000116,0.000431,-2.1e-05,3.1e-05,3.7e-05
3.edf,train,EEG F7,-0.000143,0.000137,-2.3e-05,1.4e-05,2.7e-05
3.edf,train,EEG F3,-4e-05,0.000148,5e-06,1.2e-05,1.3e-05
3.edf,train,EEG Fz,1.2e-05,0.000183,5.1e-05,1.1e-05,5.2e-05
3.edf,train,EEG F4,-6.5e-05,0.000108,-2.5e-05,1e-05,2.7e-05
3.edf,train,EEG F8,-8.7e-05,0.000115,-2.8e-05,1.1e-05,3e-05
3.edf,train,EEG FC5,-6.3e-05,4.7e-05,-1.5e-05,8e-06,1.7e-05
3.edf,train,EEG FC1,-6.6e-05,2e-05,-3.4e-05,6e-06,3.4e-05
3.edf,train,EEG FC2,2e-05,9.8e-05,4.4e-05,5e-06,4.5e-05
3.edf,train,EEG FC6,-8e-05,2.6e-05,-3.3e-05,7e-06,3.4e-05
3.edf,train,EEG M1,-0.000143,8.6e-05,-2.5e-05,1.5e-05,2.9e-05
3.edf,train,EEG T7,-0.000127,5.1e-05,-2e-05,1.4e-05,2.4e-05
3.edf,train,EEG C3,-6.8e-05,9e-06,-3.3e-05,5e-06,3.4e-05
3.edf,train,EEG Cz,9e-06,2.1e-05,1.5e-05,2e-06,1.6e-05
3.edf,train,EEG C4,0.000125,0.000182,0.000152,5e-06,0.000152
3.edf,train,EEG T8,8.2e-05,0.000227,0.000166,1e-05,0.000166
3.edf,train,EEG M2,-0.000167,0.000163,-7e-06,1.5e-05,1.6e-05
3.edf,train,EEG CP5,7.1e-05,0.000226,0.000147,9e-06,0.000147
3.edf,train,EEG CP1,0.000128,0.000198,0.000165,7e-06,0.000165
3.edf,train,EEG CP2,0.000144,0.000207,0.00018,6e-06,0.00018
3.edf,train,EEG CP6,8.9e-05,0.000193,0.00014,8e-06,0.000141
3.edf,train,EEG P7,-2.5e-05,0.000383,0.000158,1.3e-05,0.000158
3.edf,train,EEG P3,8.9e-05,0.000229,0.000162,9e-06,0.000162
3.edf,train,EEG Pz,0.000103,0.00019,0.000153,8e-06,0.000153
3.edf,train,EEG P4,8.2e-05,0.00018,0.000138,9e-06,0.000138
3.edf,train,EEG P8,5.7e-05,0.000262,0.000152,1.2e-05,0.000153
3.edf,train,EEG POz,7e-05,0.000183,0.000135,1e-05,0.000136
3.edf,train,EEG O1,8.9e-05,0.000255,0.000173,1.3e-05,0.000174
3.edf,train,EEG Oz,7.5e-05,0.000216,0.000153,1.2e-05,0.000153
3.edf,train,EEG O2,7.3e-05,0.000216,0.000153,1.2e-05,0.000154
3.edf,train,EOG EOGh,-0.001453,0.007824,0.000124,0.000555,0.000568
3.edf,train,EOG EOGv,-0.000529,-3.5e-05,-0.000123,1.4e-05,0.000124
3.edf,train,EMG EMG_RH,-0.000919,0.000869,0.000172,3.5e-05,0.000175
3.edf,train,EMG EMG_LH,-0.000369,0.000102,-0.000136,2e-05,0.000138
3.edf,train,EMG EMG_RF,-0.000784,0.000107,-0.000129,1.5e-05,0.00013
3.edf,train,EEG AF7,-0.000103,0.000418,-4e-06,3.2e-05,3.2e-05
3.edf,train,EEG AF3,-6.4e-05,0.000235,-6e-06,1.9e-05,2e-05
3.edf,train,EEG AF4,-5.9e-05,0.00022,-6e-06,1.6e-05,1.8e-05
3.edf,train,EEG AF8,1.1e-05,0.000406,8.6e-05,2.1e-05,8.9e-05
3.edf,train,EEG F5,-0.000122,0.000114,-5.6e-05,1.4e-05,5.8e-05
3.edf,train,EEG F1,-8.3e-05,8.4e-05,-4.4e-05,1.1e-05,4.5e-05
3.edf,train,EEG F2,3.7e-05,0.000193,7.6e-05,9e-06,7.6e-05
3.edf,train,EEG F6,-0.000101,0.000105,-4.2e-05,1.1e-05,4.4e-05
3.edf,train,EEG FC3,-8.1e-05,1.4e-05,-4.1e-05,7e-06,4.1e-05
3.edf,train,EEG FCz,-5.4e-05,3.7e-05,-2.5e-05,5e-06,2.5e-05
3.edf,train,EEG FC4,-2.4e-05,6.4e-05,6e-06,6e-06,8e-06
3.edf,train,EEG C5,-0.000138,-1.9e-05,-6.2e-05,8e-06,6.3e-05
3.edf,train,EEG C1,-6e-05,-3.1e-05,-4.5e-05,2e-06,4.5e-05
3.edf,train,EEG C2,-6.3e-05,-3.6e-05,-5.1e-05,2e-06,5.1e-05
3.edf,train,EEG C6,-0.000102,-7e-06,-5.3e-05,7e-06,5.3e-05
3.edf,train,EEG CP3,-9.2e-05,-5e-06,-4.1e-05,7e-06,4.2e-05
3.edf,train,EEG CPz,0.000182,0.000241,0.000213,5e-06,0.000213
3.edf,train,EEG CP4,0.000169,0.000207,0.00019,4e-06,0.00019
3.edf,train,EEG P5,-9.6e-05,0.000109,8e-06,1e-05,1.3e-05
3.edf,train,EEG P1,0.000155,0.000246,0.000211,8e-06,0.000211
